,언론사,박영선,오세훈,대통령,이낙연,이재명,백신
0,한겨레,0.446827186,0.453516599,0.628309695,0.590466126,0.557474495,0.322302798
0,경향신문,0.521843633,0.539058554,0.719488454,0.597568078,0.54517502,0.444474813
,동아일보,0.509006171,0.480255118,0.620661335,0.543603435,0.504741125,0.203589275
0,머니투데이,0.101759572,0.592997061,0.710618895,0.624165109,0.578806481,0.414058046
,서울경제,0.672354457,0.592444935,0.660919582,0.551709608,0.591304131,0.356315643
,조선일보,0.495731916,0.586310451,0.624048694,0.643476611,0.585178118,0.320826975
,중앙일보,0.589082913,0.560729339,0.702457985,0.52673925,0.490022631,0.242597546
0,프레시안,0.421559804,0.447982839,0.639858461,0.40902933,0.488039611,0.513086705
